OMICS_ICL103_NS1_7hr_Protein_1_068,OMICS_ICL103_NS1_7hr_Protein_3_030,OMICS_ICL103_NS1_7hr_Protein_3_030.1,OMICS_ICL103_NS1_7hr_Protein_4_010,OMICS_ICL103_NS1_7hr_Protein_5_039,OMICS_ICL103_VN1203_7hr_Protein_1_055,OMICS_ICL103_VN1203_7hr_Protein_2_060,OMICS_ICL103_VN1203_7hr_Protein_4_004,OMICS_ICL103_VN1203_7hr_Protein_4_004.1,OMICS_ICL103_VN1203_7hr_Protein_5_075
AP2M1,21.967352773247317,21.56281035134515,21.743844440970648,21.660678249785935,21.649451101113808,21.97836436071321,21.798706409147012,21.918319582627994,21.463428660011505,21.7758157421695
APEX1,22.061521312304848,21.987541812496875,22.212573623223744,22.124929596373146,21.747611291822246,21.656758124693354,22.36295578842976,22.23276127367619,21.996730494750224,22.09077880591634
API5,23.36531885181835,23.216594370811066,22.944996937338047,23.249564195159664,23.181660830710815,22.94130856477006,23.536073860169815,23.52423772266665,23.280135930583455,23.735277951595545
APOL2,21.050936683105967,21.861966755664092,20.992470292645002,22.48169255766195,20.570874872859576,22.253107066971943,21.005752127213974,20.382956884248635,22.73487625313908,21.28246535992962
APRT,24.42537530056807,25.233740040023683,24.62496142634037,24.581244780290703,24.669883834860336,24.92113508345498,24.83953757579436,25.02824228866998,24.60608199890866,24.82061118955362
ARL6IP1,23.610199765889984,22.75397486940456,22.35884157739028,23.819402804696505,21.600099967534472,25.03500547531589,22.395574398181413,24.168837645969845,23.285653548832734,23.66755584600632
ARPC1A,22.495328309163266,22.559029167298807,22.372611814913864,22.504607668989625,22.80940731912018,21.834430467178972,22.470115716655993,22.486520333717973,22.526177511966765,21.931401050573786
ARPC1B,22.824229873533184,22.164682771915608,22.444492496251755,22.353244498738707,22.568305992015638,22.07858535362162,22.19454345786382,21.601264470182336,22.317366421656182,22.100050864759236
ARF1,22.960629629982815,23.49596821825265,22.669107513069484,23.775998891099157,23.023260706225884,24.440297511270956,22.79390051748991,23.94382869668232,23.755903395774624,23.79277259551758
ARF3,22.94416726311568,23.466369259931653,22.76665534258467,23.775998891099157,23.023260706225884,24.211251582355853,22.79390051748991,23.8830750947614,23.755903395774624,23.728388304967194
ARF4,24.028336847203605,24.44808978560544,23.488282596568343,24.47550804352668,24.141324529602304,24.688856832990535,23.40442310474454,24.59233369888875,24.595830062399305,24.5001462523754
ARF5,22.220918324506883,22.622536721090352,21.857500932712604,22.760337512096175,22.299900487595,23.319682539015265,21.89959253515242,23.066354698072224,22.87289163602418,22.983983873579007
ARL1,20.107068538707725,20.54159585077234,18.904308085309736,20.488015667935805,18.97549913157542,21.589530644353538,19.515711093527777,20.77620344706208,20.451249258003852,20.695376161508626
